Omer,date unknown ,,Hamriya XI,,,,,
Rahul,date unknown ,,Hawks (UAE),,,,,
Rahul,date unknown ,,Stallions,,,,,
Rahul,date unknown ,,Mutants,,,,,
K Rahul,date unknown ,,Park-N-Shop,,,,,
MN Rahul,date unknown ,,Metro Tigers Dubai,,,,,
Rahul Benny,date unknown ,,Wellcare Warriors,,,,,
Rahul Chattwani,date unknown ,,United Arab Emirates Under-19s,,Right-hand bat,Right-arm offbreak,,
Rahul Gopalakrishnan,date unknown ,,Nico International,,,,,
Rahul Neelesh,date unknown ,,United Arab Emirates Under-19s,,,,,
Raj,date unknown ,,Coca Cola,,,,,
Raja,date unknown ,,Systempack Ajman,,,,,
Raja Adnan Azgar,date unknown ,,Al Jaber Blazer,,,,,
Rajasab Mehmood,date unknown ,,Averda,,,,,
Raja Adeel Iqbal,October 2  1987  Gujarat ,30 years 188 days,United Arab Emirates,,Right-hand bat,Right-arm fast,,
Rajeesh Nadammal,date unknown ,,Black Hawks,,,,,
Rajesh,date unknown ,,Bafco,,,,,
Rajesh,August 15  1975  Agra India ,42 years 236 days,Park-N-Shop,,,,,
Rajesh,May 16  1975  Nagalapuram  Tamilnadu  India ,42 years 327 days,Arenco IT,,,,,
Rajesh,date unknown ,,Park-N-Shop,,,,,
Rajesh,date unknown ,,Park-N-Shop,,,,,
Rajesh,date unknown ,,Canpack,,,,,
Rajesh Poojari,date unknown ,,AWR 1,,,,,
Rajeshrohit,date unknown ,,DIC Fighters,,,,,
Rajinder,date unknown ,,Kazmi Knight Riders,,,,,
Rajiv,date unknown ,,Specialist Players,,,,,
Raju,date unknown ,,SHJ Warriors,,,,,
Rajujose,May 1  1973  India ,44 years 342 days,Al Futtaim Exova,,,,,
Rakesh,date unknown ,,Blue Strikers,,,,,
Rakesh,date unknown ,,Evergreen,,,,,
Rakesh,May 5  1992  India ,25 years 338 days,Centaur Warriors,,,,,
Rakesh,date unknown ,,Evergreen,,,,,
Rakesh,date unknown ,,Al Futtaim Carillion,,,,,
ram,date unknown ,,Coca Cola,,,,,
Raman,date unknown ,,Coca Cola,,,,,
Rameez Razzaq,date unknown ,,,,,,Umpire,
Rameez Shahzad,November 30  1987  Lahore  Pakistan ,30 years 129 days,United Arab Emirates ,Top-order batsman,Right-hand bat,Right-arm offbreak,Father - ,
Ramesh,date unknown ,,Super Strikers,,,,,
Ramesh,date unknown ,,Lahore Qalandars,,,,,
S Ramesh,date unknown ,,United Arab Emirates,,,,,
Ramesh Bandla,date unknown ,,Asian CC,,,,,
Kumar Hanuman Ramsabad,August 18  1987  Brooklyn  New York ,30 years 233 days,United States of America Under-19s,,Right-hand bat,Legbreak,Joe,
Ramveer,date unknown ,,DBMSC A,,,,,
Ramveer Rai,December 1  1987  United Arab Emirates ,30 years 128 days,United Arab Emirates ,,Right-hand bat,Slow left-arm orthodox,Rambo,
Ranjeev,date unknown ,,WME Warriors,,,,,
Ranjit,date unknown ,,Qalandars,,,,,
Rankith Kumar,date unknown ,,Friends Fujairah,,,,,
Rao Naseh,date unknown ,,Adam Global Dubai,,,,,
Rasal Khan,date unknown ,,Alec,,,,,
Rasel Hossain,date unknown ,,Systempack Ajman,,,,,
Rashedul,date unknown ,,Team Mavericks,,,,,
Rashid,date unknown ,,Peshawar Zalmi (UAE),,,,,
Rashid,date unknown ,,Singham CC,,,,,
Rashid,date unknown ,,Rohtek Eleven,,,,,
Rashid,date unknown ,,Al Sharqi Ship Company LLC,,,,,
Rashid Hussain,date unknown ,,Desert Group Heros,,,,,
Rashid Khan,March 20  1981  Dubai ,37 years 19 days,United Arab Emirates,,Right-hand bat,,,
Rashid Ansari,date unknown ,,Dubai Zalmi,,,,,
Rataz,date unknown ,,Rangers,,,,,
Ratheesh,February 9  1982  India ,36 years 58 days,Al Futtaim Exova,,,,,
Rauf,date unknown ,,Kohat CC,,,,,
Ravi,date unknown ,,Tiger CC,,,,,
Ravinder Kumar,date unknown ,,Asian CC,,,,,
Ravi Kumar,date unknown ,,Falcon XI,,,,,
Ravi Kumar Varma,date unknown ,,United Arab Emirates,,,,Ravi Kumar,
Ravoof Salihu,date unknown ,,DXB Municipality,,,,,
Rawad Khan,date unknown ,,DIB Stars,,,,,
Rawadullah,date unknown ,,TOC Tigers,,,,,
Rawadullah Khan,date unknown ,,Asian Tigers,,,,,
Rayad Ahmadsaheb,date unknown ,,AWR 2,,,,,
Rayan,date unknown ,,Blue Strikers,,,,,
Rayas,date unknown ,,Coca Cola,,,,,
Raza,date unknown ,,Leopards,,,,,
Raza,date unknown ,,Bolt CC,,,,,
Raza,date unknown ,,Malang 8,,,,,
Raza,date unknown ,,DHL United,,,,,
Raza,date unknown ,,Mai Dubai,,,,,
Raza Shah,date unknown ,,DHL United,,,,,
Razeeth Pocku,May 5  1982  India ,35 years 338 days,DXB Warriors,,,,,
Raziq,date unknown ,,Bafco,,,,,
Raziq Khan,October 31  1979 ,38 years 159 days,United Arab Emirates,,,,,
Syed Razzak Ali,date unknown ,,,,,,Umpire,
Razzak Shah,date unknown ,,,,,,Umpire,
Razzaq Boota,date unknown ,,Systempack Ajman,,,,,
Razzaq Shah,date unknown ,,,,,,Umpire,
Reddy,date unknown ,,Modern Plastics,,,,,
Reees,date unknown ,,Eppco,,,,,
Reegan,date unknown ,,IC Boyz,,,,,
Reegan Bharat,date unknown ,,Team Aladeen,,,,,
Reegan Lazer,date unknown ,,Veerans,,,,,
Reetesh,date unknown ,,Force 8,,,,,
Refai,date unknown ,,Mutants,,,,,
Rehan,date unknown ,,Ratnagiri Riders Cricket,,,,,
Rehan Bashir,date unknown ,,DHL United,,,,,
Rehan Suria,date unknown ,,Gargash Smashers,,,,,
Rehman,date unknown ,,Go Green,,,,,
Renjith Raseen,date unknown ,,PCC,,,,,
Reshin Thattantavida,date unknown ,,Al Gurg CC,,,,,
Reyasat Alli Mir,date unknown ,,AWR 1,,,,,
Reynold Daniel,date unknown ,,AWR 1,,,,,
Riaz,date unknown ,,Khoat CC,,,,,
Riaz,date unknown ,,Emicool,,,,,
Riaz,date unknown ,,Canpack,,,,,
Riaz,date unknown ,,Dewa,,,,,
Riaz Khaliq,November 21  1986  Sharjah ,31 years 138 days,United Arab Emirates Under-17s,,Right-hand bat,Legbreak,,
Ribu,date unknown ,,Falcons,,,,,
Ribu Koshy,date unknown ,,Eagles,,,,,
Ribu Koshy,date unknown ,,Falcon XI,,,,,
Ribu Koshy,date unknown ,,Wasco Energy XI,,,,,
Richard,date unknown ,,Blighty Ducks,,,,,
Richie Ebrahim,November 7  1961  Johannesburg  Transvaal  South Africa ,56 years 152 days,,,,,Umpire,
Rifas,date unknown ,,Veerans,,,,,
Rifkan,December 31  1976  Thanglle ,41 years 98 days,Emrill Cricket Club,,,,,
KP Rijesh,date unknown ,,Metro Tigers Dubai,,,,,
Rilvan Farook,date unknown ,,AL Ghurair Construction,,,,,
Rino,date unknown ,,SFS,,,,,
Rinu,date unknown ,,SFS,,,,,
Ripson Lawrance,date unknown ,,PCC,,,,,
Rishal Ravindran,date unknown ,,Metro Tigers Dubai,,,,,
Rishi,date unknown ,,Hawks XI,,,,,
Rishi Ramchandani,date unknown ,,Hunters,,,,,
Riyan Mohammed,June 18  1998 ,19 years 294 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Riyas Shahdeen,date unknown ,,DXB Municipality,,,,,
Riyaz Mohammed,date unknown ,,Payyanur Rockers,,,,,
Rizwa Khan,date unknown ,,Friends 4 Ever,,,,,
Rizwan,date unknown ,,Dubai Bulls,,,,,
Rizwan,date unknown ,,Air Arabia,,,,,
Rizwan,date unknown ,,Metro Hotel Cricket Team,,,,,
Rizwan,date unknown ,,Rangers,,,,,
Rizwan,date unknown ,,Peshawar Zalmi (UAE),,,,,
Rizwan,date unknown ,,DHL United,,,,,
Rizwan Khan,date unknown ,,Abu Dhabi XI,,,,,
Rizwan Khan,date unknown ,,Wasco Energy XI,,,,,
Rizwan Latif Ahmed,October 5  1973  Karachi  Pakistan ,44 years 185 days,United Arab Emirates,,Right-hand bat,Slow left-arm orthodox,Rizwan Ahmed,
Rizwan Mustufa,date unknown ,,Abu Dhabi XI,,,,,
Rizwan Shah,date unknown ,,,,,,Umpire,
Rizwan Suria,date unknown ,,Gargash Smashers,,,,,
Rizwan Zaman,date unknown ,,Corner Tigers,,,,,
Rob,date unknown ,,Blighty Ducks,,,,,
Robeel Afghan Hashmi,date unknown ,,Dubai Strikers,,,,,
Robeel Afghan,date unknown ,,Dhoom 8,,,,,
Rocky Janu,date unknown ,,Veerans,,,,,
Shoun Roger,date unknown ,,UAE Blues,,,,,
Rohal,date unknown ,,Ratnagiri Riders Cricket,,,,,
Rohan,date unknown ,,DBMSC A,,,,,
Rohan,date unknown ,,DBMSC A,,,,,
Rohan Keeth,date unknown ,,Payyanur Rockers,,,,,
Rohan Mustafa,October 7  1988  Kohat ,29 years 183 days,United Arab Emirates ,Top-order batsman,Left-hand bat,Right-arm offbreak,,
Rohit,date unknown ,,Abela and Co,,,,,
Rohit,date unknown ,,Captains,,,,,
Rohit,date unknown ,,Abela and Co,,,,,
Rohit,date unknown ,,Park-N-Shop,,,,,
Rohit K,date unknown ,,Abela and Co,,,,,
Rohit Blaggan,date unknown ,,Adam Global Dubai,,,,,
Rohit Jain,date unknown ,,DXB Panthers,,,,,
Rohit Joshi,date unknown ,,Ultimate Fighers,,,,,
Rohit Sharma,date unknown ,,Mutants,,,,,
Rohit Singh Jamwal,October 22  1993 ,24 years 168 days,United Arab Emirates ,,Right-hand bat,,,
Rojin,date unknown ,,Icons,,,,,
Rolwin,date unknown ,,Blue Strikers,,,,,
Romil,date unknown ,,Blue Strikers,,,,,
Ronak,date unknown ,,Faisal 11,,,,,
Roopa Nagraj,January 2  1983  India ,35 years 96 days,United Arab Emirates Women,,,,,
Rosewel,date unknown ,,Blue Strikers,,,,,
Roshan,date unknown ,,Ultimate Fighters,,,,,
Roshan,date unknown ,,AL Ghurair Construction,,,,,
Rovel Preeth,date unknown ,,Payyanur Rockers,,,,,
Roy,date unknown ,,Ultimate Fighers,,,,,
Rukhsar Rukhsar,date unknown ,,Desert Group Heros,,,,,
Rukshan,date unknown ,,Khaleej Times,,,,,
Ruman,date unknown ,,Dubai Bulls,,,,,
Ruwait Aslam,date unknown ,,Dutco Construction LLC,,,,,
I Sajid,date unknown ,,High Star Medical CC,,,,,
M Sajid,date unknown ,,High Star Medical CC,,,,,
Saad,date unknown ,,Asian Eagles Etis,,,,,
Saad,date unknown ,,Etisalat Royals,,,,,
Saad,date unknown ,,Eagles,,,,,
Saad,date unknown ,,Eagles (UAE),,,,,
Saad ,date unknown ,,Original Team 8,,,,,
Saalim Suleimani,date unknown ,,Eleven Aces,,,,,
Sabir Ali,date unknown ,,AL Ghurair Construction,,,,,
Saboor,date unknown ,,Bolt CC,,,,,
Sabu,date unknown ,,Rising Challengers,,,,,
Sachin,date unknown ,,Coca Cola,,,,,
Sachin,date unknown ,,Coca Cola,,,,,
Sachin,date unknown ,,SFS,,,,,
Sachin,date unknown ,,Coca Cola,,,,,
Sachin,date unknown ,,Air Arabia,,,,,
Sachin,date unknown ,,G9-Stars,,,,,
Sachin Radhakrishnan,date unknown ,,Al Gurg CC,,,,,
Sadaqat,date unknown ,,RAK Bullet,,,,,
Sadaqat,date unknown ,,Been Chakwal CC,,,,,
Saddam,date unknown ,,BK Gulf LLC,,,,,
Saddam,date unknown ,,Dewa,,,,,
Saddam Hussain,date unknown ,,Spartans,,,,,
Saddam Pinjari,date unknown ,,Eagles,,,,,
Sadik,date unknown ,,Khaleej Times,,,,,
Sadik Methalakam,date unknown ,,Systempack Ajman,,,,,
Sadiq,date unknown ,,Khaleej Times,,,,,
Sadiq,date unknown ,,Faisal 11,,,,,
Sadiq,date unknown ,,Young Blouch CC UAE,,,,,
Sadiq Ali,date unknown ,,UAE Super Kings,,,,,
Saeed,date unknown ,,Super Strikers,,,,,
Saeed,date unknown ,,AFS,,,,,
Saeed,date unknown ,,My Life,,,,,
Saeed-al-Saffar,July 31  1968  Dubai ,49 years 251 days,United Arab Emirates,,Right-hand bat,Left-arm medium-fast,,
Saeed Mir,date unknown ,,SP Warriors,,,,,
Saeed Ahmed,date unknown ,,Dharti TV,,,,,
Saeed Ajmal,date unknown ,,Al Jeer CC,,,,,
Saeed Sajjad,date unknown ,,Abu Dhabi XI,,,,,
Saeed Sher,October 29  1985  Pakistan ,32 years 161 days,APS,,,,,
Safal,date unknown ,,Coca Cola,,,,,
Safdar,date unknown ,,DIB Knight Riders,,,,,
Safdar,date unknown ,,Dubai Night Riders,,,,,
Safdar,date unknown ,,Al Sharqi Ship Company LLC,,,,,
Mohammad Safdar Niazi,June 11  1982  Ahmedpur East  Punjab ,35 years 301 days,United Arab Emirates ,,Right-hand bat,Right-arm offbreak,,
Saffer,date unknown ,,Khoat CC,,,,,
Safran,date unknown ,,Scorpions,,,,,
Sagar,date unknown ,,Renegades,,,,,
Sagar,date unknown ,,SOL Group,,,,,
Sagar,date unknown ,,IC Boyz,,,,,
Sagar,date unknown ,,Hawks (UAE),,,,,
Sagar,date unknown ,,Renegades,,,,,
Sagar,date unknown ,,SOL Group,,,,,
Sagar,date unknown ,,Kannur XI,,,,,
Sagar Bharat,date unknown ,,Team Aladeen,,,,,
Sahar,date unknown ,,Enoc,,,,,
Sahar Naveed,date unknown ,,Sialkot CC,,,,,
Sahayaraj Siluvai,February 14  1984  India ,34 years 53 days,The Champs,,,,,
Sahaya Raj,date unknown ,,The Challengers,,,,,
Saheb,date unknown ,,Al Futtaim Carillion,,,,,
Sahil,date unknown ,,Sealine Taha CC,,,,,
Sahil Suleimani,date unknown ,,Falcon XI,,,,,
Sai,date unknown ,,Faisal 11,,,,,
Said Ali,date unknown ,,Al Jeer CC,,,,,
Saied Amjad,date unknown ,,Abu Dhabi XI,,,,,
Saif,date unknown ,,AWR 3,,,,,
Saifur,date unknown ,,Pakhtoon XI,,,,,
Saif Ullah,date unknown ,,DXB Municipality,,,,,
Sairaj,date unknown ,,Faisal 11,,,,,
Sairam,date unknown ,,Force 8,,,,,
Sajan,date unknown ,,Wellcare Warriors,,,,,
Sajeed,date unknown ,,OMG,,,,,
Sajeed,date unknown ,,OMG,,,,,
Sajid,date unknown ,,DBMSC B,,,,,
Sajid,date unknown ,,Faisal 11,,,,,
Sajid,date unknown ,,Icons,,,,,
Sajid,date unknown ,,DBMSC B,,,,,
Sajid,date unknown ,,Icons,,,,,
Sajid,date unknown ,,My Life,,,,,
Sajid,date unknown ,,BK Gulf LLC,,,,,
Sajid,date unknown ,,SP Warriors,,,,,
Sajid Ishaq,date unknown ,,Been Chakwal CC,,,,,
Sajid Khalil,date unknown ,,DHL Sharjah,,,,,
Sunair Sajid Khan,June 22  1994 ,23 years 290 days,United Arab Emirates Under-19s,,Right-hand bat,Right-arm medium,Sunair Khan,
Sajid Khan,date unknown ,,Been Chakwal CC,,,,,
Sajid Mehmood,date unknown ,,Dharti TV,,,,,
Sajid Mohammad,date unknown ,,Been Chakwal CC,,,,,
Sajid Warriach,date unknown ,,DXB Municipality,,,,,
Sajin,date unknown ,,Wellcare Warriors,,,,,
Sajith,date unknown ,,Heidelberg Warriors,,,,,
Sajith,date unknown ,,WME Warriors,,,,,
Sajjad,date unknown ,,Metro CC,,,,,
Sajjad,date unknown ,,Al Jaber Plus Friends,,,,,
Sajjad,date unknown ,,Al Jaber Plus Friends,,,,,
Sajjad Hussain,date unknown ,,Desert Group Heros,,,,,
Saju,date unknown ,,Enoc,,,,,
Salah Shakeel,October 6  1998 ,19 years 184 days,United Arab Emirates Under-19s,,Right-hand bat,Right-arm offbreak,,
Salam,date unknown ,,DBMSC B,,,,,
Salam,date unknown ,,Dream Killers,,,,,
Salam,date unknown ,,Go Green,,,,,
Saleem,date unknown ,,Dutco Construction LLC,,,,,
Saleem,date unknown ,,Alliance Insurance,,,,,
Saleem Raza,July 5  1964  Lahore  Punjab  Pakistan ,53 years 277 days,United Arab Emirates ,,Right-hand bat,Right-arm offbreak,,
Saleh Ali,date unknown ,,Eleven Aces,,,,,
Salesh,date unknown ,,Eleven Aces,,,,,
Salim,date unknown ,,Abela and Co,,,,,
Salim,date unknown ,,Khaleej Times,,,,,
Salim Siddique,date unknown ,,Eppco,,,,,
Salman,date unknown ,,Bolt CC,,,,,
Salman,date unknown ,,Shagarah Panthers,,,,,
Salman,date unknown ,,Emicool,,,,,
Salman,date unknown ,,Dewa,,,,,
